date,draw_sales,jackpot,pp_sales,state_abbr,state_draw_sales,state_pp_sales,date_format,ticket_sales,revenue,year
12/06/17,,193.0,,AR,,,2017-12-06,,,2017
12/06/17,,193.0,,AZ,,,2017-12-06,,,2017
12/06/17,,193.0,,CA,,,2017-12-06,,,2017
12/06/17,,193.0,,CO,,,2017-12-06,,,2017
12/06/17,,193.0,,CT,,,2017-12-06,,,2017
12/06/17,,193.0,,DC,,,2017-12-06,,,2017
12/06/17,,193.0,,DE,,,2017-12-06,,,2017
12/06/17,,193.0,,FL,,,2017-12-06,,,2017
12/06/17,,193.0,,GA,,,2017-12-06,,,2017
12/06/17,,193.0,,IA,,,2017-12-06,,,2017
12/06/17,,193.0,,ID,,,2017-12-06,,,2017
12/06/17,,193.0,,IL,,,2017-12-06,,,2017
12/06/17,,193.0,,IN,,,2017-12-06,,,2017
12/06/17,,193.0,,KS,,,2017-12-06,,,2017
12/06/17,,193.0,,KY,,,2017-12-06,,,2017
12/06/17,,193.0,,LA,,,2017-12-06,,,2017
12/06/17,,193.0,,MA,,,2017-12-06,,,2017
12/06/17,,193.0,,MD,,,2017-12-06,,,2017
12/06/17,,193.0,,ME,,,2017-12-06,,,2017
12/06/17,,193.0,,MI,,,2017-12-06,,,2017
12/06/17,,193.0,,MN,,,2017-12-06,,,2017
12/06/17,,193.0,,MO,,,2017-12-06,,,2017
12/06/17,,193.0,,MT,,,2017-12-06,,,2017
12/06/17,,193.0,,NC,,,2017-12-06,,,2017
12/06/17,,193.0,,ND,,,2017-12-06,,,2017
12/06/17,,193.0,,NE,,,2017-12-06,,,2017
12/06/17,,193.0,,NH,,,2017-12-06,,,2017
12/06/17,,193.0,,NJ,,,2017-12-06,,,2017
12/06/17,,193.0,,NM,,,2017-12-06,,,2017
12/06/17,,193.0,,NY,,,2017-12-06,,,2017
12/06/17,,193.0,,OH,,,2017-12-06,,,2017
12/06/17,,193.0,,OK,,,2017-12-06,,,2017
12/06/17,,193.0,,OR,,,2017-12-06,,,2017
12/06/17,,193.0,,PA,,,2017-12-06,,,2017
12/06/17,,193.0,,PR,,,2017-12-06,,,2017
12/06/17,,193.0,,RI,,,2017-12-06,,,2017
12/06/17,,193.0,,SC,,,2017-12-06,,,2017
12/06/17,,193.0,,SD,,,2017-12-06,,,2017
12/06/17,,193.0,,TN,,,2017-12-06,,,2017
12/06/17,,193.0,,TX,,,2017-12-06,,,2017
12/06/17,,193.0,,VA,,,2017-12-06,,,2017
12/06/17,,193.0,,VI,,,2017-12-06,,,2017
12/06/17,,193.0,,VT,,,2017-12-06,,,2017
12/06/17,,193.0,,WA,,,2017-12-06,,,2017
12/06/17,,193.0,,WI,,,2017-12-06,,,2017
12/06/17,,193.0,,WV,,,2017-12-06,,,2017
12/06/17,,193.0,,WY,,,2017-12-06,,,2017
12/02/17,33842134.0,177.0,3144938.0,AR,207040.0,50023.0,2017-12-02,103520.0,257063.0,2017
12/02/17,33842134.0,177.0,3144938.0,AZ,790702.0,59666.0,2017-12-02,395351.0,850368.0,2017
12/02/17,33842134.0,177.0,3144938.0,CA,3292686.0,,2017-12-02,1646343.0,,2017
12/02/17,33842134.0,177.0,3144938.0,CO,560076.0,126852.0,2017-12-02,280038.0,686928.0,2017
12/02/17,33842134.0,177.0,3144938.0,CT,,,2017-12-02,,,2017
12/02/17,33842134.0,177.0,3144938.0,DC,80140.0,6985.0,2017-12-02,40070.0,87125.0,2017
12/02/17,33842134.0,177.0,3144938.0,DE,166354.0,12954.0,2017-12-02,83177.0,179308.0,2017
12/02/17,33842134.0,177.0,3144938.0,FL,3222110.0,377607.0,2017-12-02,1611055.0,3599717.0,2017
12/02/17,33842134.0,177.0,3144938.0,GA,1041772.0,57311.0,2017-12-02,520886.0,1099083.0,2017
12/02/17,33842134.0,177.0,3144938.0,IA,385304.0,57613.0,2017-12-02,192652.0,442917.0,2017
12/02/17,33842134.0,177.0,3144938.0,ID,221306.0,24927.0,2017-12-02,110653.0,246233.0,2017
12/02/17,33842134.0,177.0,3144938.0,IL,1022564.0,81137.0,2017-12-02,511282.0,1103701.0,2017
12/02/17,33842134.0,177.0,3144938.0,IN,741664.0,68947.0,2017-12-02,370832.0,810611.0,2017
12/02/17,33842134.0,177.0,3144938.0,KS,302420.0,21391.0,2017-12-02,151210.0,323811.0,2017
12/02/17,33842134.0,177.0,3144938.0,KY,583426.0,40966.0,2017-12-02,291713.0,624392.0,2017
12/02/17,33842134.0,177.0,3144938.0,LA,680204.0,85442.0,2017-12-02,340102.0,765646.0,2017
12/02/17,33842134.0,177.0,3144938.0,MA,839336.0,47288.0,2017-12-02,419668.0,886624.0,2017
