Household Income,Median Age,Per Capita Income,Population,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate,state,year
42081.0,37.5,22984.0,4712651.0,786544.0,16.690054069355018,NA,NA,AL,2010
66521.0,33.8,30726.0,691189.0,64245.0,9.294852782668707,NA,NA,AK,2010
50448.0,35.5,25680.0,6246816.0,933113.0,14.937417718082301,NA,NA,AZ,2010
39267.0,37.2,21274.0,2872684.0,502684.0,17.498757259761256,NA,NA,AR,2010
60883.0,34.9,29188.0,36637290.0,4919945.0,13.428790721147768,NA,NA,CA,2010
56456.0,35.8,30151.0,4887061.0,584184.0,11.953687502570565,NA,NA,CO,2010
67740.0,39.5,36775.0,3545837.0,314306.0,8.864084840899343,NA,NA,CT,2010
57599.0,38.3,29007.0,881278.0,93857.0,10.650101330113767,NA,NA,DE,2010
58526.0,34.3,42078.0,584400.0,101767.0,17.413928815879533,NA,NA,DC,2010
47661.0,40.3,26551.0,18511620.0,2502365.0,13.517806653334501,NA,NA,FL,2010
49347.0,35.0,25134.0,9468815.0,1445752.0,15.268563172899674,NA,NA,GA,2010
66420.0,38.2,28882.0,1333591.0,124627.0,9.345219036421213,NA,NA,HI,2010
46423.0,34.4,22518.0,1526797.0,203177.0,13.307401049386394,NA,NA,ID,2010
55735.0,36.2,28782.0,12745359.0,1572048.0,12.334277912454253,NA,NA,IL,2010
47697.0,36.6,24058.0,6417398.0,842540.0,13.128997141832249,NA,NA,IN,2010
48872.0,38.0,25335.0,3016267.0,338263.0,11.214623904316163,NA,NA,IA,2010
49424.0,36.1,25907.0,2809329.0,338792.0,12.059534500943107,NA,NA,KS,2010
41576.0,37.7,22515.0,4285828.0,735782.0,17.167791147941543,NA,NA,KY,2010
43445.0,35.9,23094.0,4429940.0,780359.0,17.615565899312404,NA,NA,LA,2010
46933.0,42.0,25385.0,1327665.0,162358.0,12.228837846896619,NA,NA,ME,2010
70647.0,37.6,34849.0,5696423.0,476732.0,8.368971194730447,NA,NA,MD,2010
64509.0,38.7,33966.0,6477096.0,658391.0,10.164910324009401,NA,NA,MA,2010
48432.0,38.1,25135.0,9952687.0,1444004.0,14.508684941061645,NA,NA,MI,2010
57243.0,37.1,29582.0,5241914.0,542133.0,10.342271925865248,NA,NA,MN,2010
37881.0,35.8,19977.0,2941991.0,604272.0,20.5395597743161,NA,NA,MS,2010
46262.0,37.6,24724.0,5922314.0,802596.0,13.552067654636344,NA,NA,MO,2010
43872.0,39.7,23836.0,973739.0,138109.0,14.183369465534401,NA,NA,MT,2010
49342.0,36.2,25229.0,1799125.0,206227.0,11.462627666226638,NA,NA,NE,2010
55726.0,35.9,27589.0,2633331.0,308426.0,11.712390124902642,NA,NA,NV,2010
63277.0,40.3,31422.0,1313939.0,99527.0,7.574704761788789,NA,NA,NH,2010
69811.0,38.5,34858.0,8721577.0,777968.0,8.920038199513689,NA,NA,NJ,2010
43820.0,36.4,22966.0,2013122.0,361771.0,17.970644600774317,NA,NA,NM,2010
55603.0,37.7,30948.0,19229752.0,2650166.0,13.78159219110054,NA,NA,NY,2010
45570.0,37.1,24745.0,9271178.0,1399945.0,15.099968957558575,NA,NA,NC,2010
46781.0,37.2,25803.0,659858.0,78405.0,11.882101906773881,NA,NA,ND,2010
