state,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate,year
AL,4747424,37.7,42934,23483,813385,17.133186334315198,215543,4.54020959577236,2011
AK,700703,33.8,69014,31944,65111,9.29223936532311,30932,4.414423800097902,2011
AZ,6337373,35.7,50752,25784,1003575,15.835820299673067,268363,4.234609514068369,2011
AR,2895928,37.3,40149,21833,516822,17.846507233605255,114100,3.940015083247926,2011
CA,36969200,35.1,61632,29634,5211481,14.096818432641225,1868871,5.0552108241455045,2011
CO,4966061,35.9,57685,30816,607727,12.237606424890874,203279,4.093364942557089,2011
CT,3558172,39.8,69243,37627,326771,9.183676337175381,163634,4.598822091793202,2011
DE,890856,38.6,59317,29659,96805,10.866514902520722,35231,3.9547356699623735,2011
DC,593955,34.1,61835,43993,101833,17.14490154978071,33495,5.639316109806298,2011
FL,18688787,40.5,47827,26733,2679400,14.336939042646266,948078,5.072977716531308,2011
GA,9600612,35.2,49736,25383,1541462,16.055872271476026,469316,4.888396698043833,2011
HI,1346554,38.4,67116,29203,134387,9.9800676393223,43274,3.21368470926528,2011
ID,1549987,34.5,46890,22788,216734,13.982955986082464,59871,3.8626775579408084,2011
IL,12790182,36.4,56576,29376,1640428,12.825681448473524,622727,4.868789200966804,2011
IN,6454254,36.8,48393,24497,885150,13.71421081351927,294244,4.558915716673066,2011
IA,3032266,38,50451,26110,347536,11.46126362265052,90571,2.9869081406446534,2011
KS,2830985,36.1,50594,26545,347184,12.263717398714581,95489,3.3729956181329115,2011
KY,4316040,37.8,42248,23033,756947,17.537997794274382,182507,4.228575268069805,2011
LA,4484596,35.9,44086,23853,800705,17.854562596051014,172040,3.8362429971395415,2011
ME,1328543,42.4,47898,26195,165146,12.430610074344601,50266,3.7835433252819066,2011
MD,5736545,37.8,72419,35751,502610,8.761545494718511,227600,3.9675449246889896,2011
MA,6512227,38.9,65981,35051,673467,10.341577466510305,287476,4.414403859079236,2011
MI,9920621,38.5,48669,25482,1518458,15.306078117488815,601515,6.063279707994086,2011
MN,5278190,37.3,58476,30310,565154,10.70734475265195,201649,3.8204194998664316,2011
MS,2956700,35.9,38718,20521,617805,20.895085737477594,134828,4.560083877295634,2011
MO,5955802,37.7,47202,25371,828615,13.912735849848602,244812,4.1104791596496995,2011
MT,982854,39.8,45324,24640,139904,14.234464121832948,32646,3.3215513189141013,2011
