1_PB PB,1_PB PP,2_PB PB,2_PB PP,3 PB,3 PP,3_PB PB,3_PB PP,4 PB,4 PP,4_PB PB,4_PB PP,5 PB,5 PP,5_PB PB,5_PB PP,PB_Only PB,PB_Only PP,date,pb_winners,pp_winners,state_abbr,states,total_winners
3033,480,385,64,473,69,13,1,7,0,0,0,0,0,0,--,7505,1216,11/29/2017,11416,1830,AZ,Arizona,13246
438,367,65,60,74,73,4,1,1,0,0,0,0,0,0,--,1110,981,11/29/2017,1692,1482,AR,Arkansas,3174
15635,0,2107,0,2402,0,89,0,34,0,0,0,0,0,0,--,37397,0,11/29/2017,57664,0,CA,California,57664
1433,1151,151,147,201,144,12,6,5,1,0,0,0,0,0,--,3563,2789,11/29/2017,5365,4238,CO,Colorado,9603
1508,815,206,103,267,141,8,11,1,2,0,0,0,0,0,--,3822,1973,11/29/2017,5812,3045,CT,Connecticut,8857
550,120,87,10,103,18,4,1,1,0,0,0,0,0,0,--,1464,239,11/29/2017,2209,388,DE,Delaware,2597
307,62,43,9,37,3,1,0,3,0,0,0,0,0,0,--,748,119,11/29/2017,1139,193,DC,Dist. of Columbia,1332
10260,3089,1281,370,1551,460,70,15,17,3,2,0,0,0,0,--,24630,7507,11/29/2017,37811,11444,FL,Florida,49255
3977,479,502,63,598,65,16,4,10,2,0,0,0,0,0,--,9698,1123,11/29/2017,14801,1736,GA,Georgia,16537
900,225,113,26,119,23,7,1,0,0,0,0,0,0,0,--,1984,528,11/29/2017,3123,803,ID,Idaho,3926
3907,708,472,100,655,102,25,4,13,2,0,0,0,0,0,--,9356,1640,11/29/2017,14428,2556,IL,Illinois,16984
2521,580,297,67,344,72,13,6,8,0,0,0,0,0,0,--,6017,1331,11/29/2017,9200,2056,IN,Indiana,11256
1209,506,132,58,174,64,6,4,4,2,0,0,0,0,0,--,3012,1216,11/29/2017,4537,1850,IA,Iowa,6387
1211,171,168,16,203,27,5,0,2,0,0,0,0,0,0,--,2916,368,11/29/2017,4505,582,KS,Kansas,5087
2196,349,292,46,337,51,18,3,5,1,0,0,0,0,0,--,5201,802,11/29/2017,8049,1252,KY,Kentucky,9301
2207,748,282,76,343,106,16,4,3,4,1,0,0,0,0,--,5086,1711,11/29/2017,7938,2649,LA,Louisiana,10587
317,306,27,29,52,53,2,3,2,0,0,0,0,0,0,--,772,691,11/29/2017,1172,1082,ME,Maine,2254
2574,371,351,51,399,63,12,4,8,0,0,0,0,0,0,--,6202,909,11/29/2017,9546,1398,MD,Maryland,10944
3154,357,415,37,499,72,20,0,5,1,0,0,0,0,0,--,7505,862,11/29/2017,11598,1329,MA,Massachusetts,12927
3963,462,530,58,657,69,27,1,12,0,1,0,1,0,0,--,9489,1069,11/29/2017,14680,1659,MI,Michigan,16339
2201,193,267,20,341,25,9,0,5,0,0,0,0,0,0,--,5365,444,11/29/2017,8188,682,MN,Minnesota,8870
3208,259,433,42,448,44,12,2,8,1,0,0,0,0,0,--,7710,640,11/29/2017,11819,988,MO,Missouri,12807
235,147,41,17,45,15,3,2,1,1,0,0,0,0,0,--,636,354,11/29/2017,961,536,MT,Montana,1497
1078,178,113,30,188,35,5,0,6,1,1,0,0,0,0,--,2625,476,11/29/2017,4016,720,NE,Nebraska,4736
920,144,114,15,126,25,3,3,1,0,0,0,0,0,0,--,2166,369,11/29/2017,3330,556,NH,New Hampshire,3886
5760,715,784,79,908,124,34,7,10,0,2,0,0,0,0,--,14166,1654,11/29/2017,21664,2579,NJ,New Jersey,24243
601,243,82,34,92,41,6,2,3,0,0,0,0,0,0,--,1587,610,11/29/2017,2371,930,NM,New Mexico,3301
11330,913,1460,108,1683,125,57,5,25,2,0,1,0,0,0,--,27115,2256,11/29/2017,41670,3410,NY,New York,45080
3238,1184,441,157,539,202,18,6,10,4,0,0,0,0,0,--,7975,3004,11/29/2017,12221,4557,NC,North Carolina,16778
180,203,15,27,31,37,0,0,0,0,0,0,0,0,0,--,442,454,11/29/2017,668,721,ND,North Dakota,1389
3106,779,388,98,508,148,17,2,9,3,1,0,0,0,0,--,7443,1810,11/29/2017,11472,2840,OH,Ohio,14312
744,572,98,73,111,90,1,4,3,1,0,0,0,0,0,--,1755,1372,11/29/2017,2712,2112,OK,Oklahoma,4824
1989,326,218,48,302,57,8,1,2,0,0,0,0,0,0,--,4749,784,11/29/2017,7268,1216,OR,Oregon,8484
5808,1684,685,201,902,263,35,16,14,4,0,0,0,0,0,--,13557,4078,11/29/2017,21001,6246,PA,Pennsylvania,27247
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/29/2017,0,0,PR,Puerto Rico,0
583,218,69,17,91,23,4,3,1,0,0,0,0,0,0,--,1507,486,11/29/2017,2255,747,RI,Rhode Island,3002
1285,1039,167,138,199,197,5,10,5,2,0,0,0,0,0,--,3256,2459,11/29/2017,4917,3845,SC,South Carolina,8762
365,108,38,14,49,18,2,3,0,2,0,0,0,0,0,--,815,280,11/29/2017,1269,425,SD,South Dakota,1694
2131,987,271,126,361,157,15,5,5,2,0,0,0,0,0,--,5341,2490,11/29/2017,8124,3767,TN,Tennessee,11891
6793,2834,915,333,1028,447,50,16,13,4,0,0,0,0,0,--,16354,6836,11/29/2017,25153,10470,TX,Texas,35623
148,113,34,9,21,18,0,0,0,0,0,0,0,0,0,--,351,287,11/29/2017,554,427,VT,Vermont,981
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,11/29/2017,0,0,VI,Virgin Islands,0
2895,714,379,90,504,107,10,4,3,5,0,0,0,0,0,--,6955,1599,11/29/2017,10746,2519,VA,Virginia,13265
2059,289,262,42,329,48,15,0,11,1,0,0,0,0,0,--,4828,749,11/29/2017,7504,1129,WA,Washington,8633
906,159,106,32,158,27,9,1,1,0,0,0,0,0,0,--,2295,431,11/29/2017,3475,650,WV,West Virginia,4125
2431,459,281,66,400,75,20,6,7,0,0,0,0,0,0,--,5812,1159,11/29/2017,8951,1765,WI,Wisconsin,10716
136,143,10,16,32,23,0,1,0,1,0,0,0,0,0,--,427,300,11/29/2017,605,484,WY,Wyoming,1089
3310,633,458,101,567,110,26,4,9,1,0,2,0,0,0,--,7462,1348,11/25/2017,11832,2199,AZ,Arizona,14031
514,478,57,77,92,89,1,0,1,0,1,0,0,0,0,--,1216,1098,11/25/2017,1882,1742,AR,Arkansas,3624
15806,0,2206,0,2647,0,96,0,44,0,3,0,1,0,0,--,36281,0,11/25/2017,57084,0,CA,California,57084
1417,1269,201,163,206,204,8,9,0,3,0,0,0,0,0,--,3376,2799,11/25/2017,5208,4447,CO,Colorado,9655
1734,993,270,135,268,176,14,2,7,6,0,1,0,0,0,--,4078,2165,11/25/2017,6371,3478,CT,Connecticut,9849
687,136,77,23,120,15,2,1,3,0,0,0,0,0,0,--,1505,284,11/25/2017,2394,459,DE,Delaware,2853
286,61,35,8,46,9,1,1,2,0,0,0,0,0,0,--,594,159,11/25/2017,964,238,DC,Dist. of Columbia,1202
12692,3920,1708,532,2091,679,75,22,26,10,1,0,0,0,0,--,28685,8564,11/25/2017,45278,13727,FL,Florida,59005
4536,627,584,72,704,91,28,5,11,2,0,0,0,0,0,--,10743,1339,11/25/2017,16606,2136,GA,Georgia,18742
884,272,103,43,162,41,2,0,5,0,0,0,0,0,0,--,2038,557,11/25/2017,3194,913,ID,Idaho,4107
4013,807,541,109,698,147,25,3,12,4,0,0,0,0,0,--,9167,1792,11/25/2017,14456,2862,IL,Illinois,17318
2817,644,368,89,510,114,23,4,9,2,0,0,1,0,0,--,6606,1565,11/25/2017,10334,2418,IN,Indiana,12752
1278,553,195,78,207,91,8,5,4,0,0,0,0,0,0,--,2923,1306,11/25/2017,4615,2033,IA,Iowa,6648
1184,150,175,32,207,21,7,1,1,0,0,0,0,0,0,--,2860,408,11/25/2017,4434,612,KS,Kansas,5046
2488,415,309,62,443,76,15,1,5,1,0,0,0,0,0,--,5410,936,11/25/2017,8670,1491,KY,Kentucky,10161
2383,865,317,107,413,138,14,8,6,3,0,0,0,0,0,--,5543,1945,11/25/2017,8676,3066,LA,Louisiana,11742
419,426,60,59,59,87,5,2,0,2,0,0,0,0,0,--,864,878,11/25/2017,1407,1454,ME,Maine,2861
3017,463,391,73,453,114,15,4,7,2,0,0,0,0,0,--,6880,1078,11/25/2017,10763,1734,MD,Maryland,12497
3672,504,443,70,543,91,25,5,4,2,0,0,0,0,0,--,8190,1067,11/25/2017,12877,1739,MA,Massachusetts,14616
4244,558,548,83,704,91,17,4,7,2,1,0,0,0,0,--,9740,1251,11/25/2017,15261,1989,MI,Michigan,17250
2197,219,308,32,365,28,9,0,3,0,0,0,0,0,0,--,5267,438,11/25/2017,8149,717,MN,Minnesota,8866
3222,318,384,37,541,67,24,0,9,0,0,0,0,0,0,--,7558,637,11/25/2017,11738,1059,MO,Missouri,12797
267,162,36,23,40,21,3,0,2,0,0,0,0,0,0,--,600,360,11/25/2017,948,566,MT,Montana,1514
1189,207,166,29,205,35,4,1,2,0,0,0,0,0,0,--,2713,475,11/25/2017,4279,747,NE,Nebraska,5026
1111,239,173,26,196,41,10,3,3,1,0,0,0,0,0,--,2372,462,11/25/2017,3865,772,NH,New Hampshire,4637
6011,911,850,116,950,128,40,8,19,3,0,0,0,0,0,--,13785,2067,11/25/2017,21655,3233,NJ,New Jersey,24888
