date,pb_winners,pp_winners,states,total_winners
11/29/2017,11416,1830,Arizona,13246
11/29/2017,1692,1482,Arkansas,3174
11/29/2017,57664,0,California,57664
11/29/2017,5365,4238,Colorado,9603
11/29/2017,5812,3045,Connecticut,8857
11/29/2017,2209,388,Delaware,2597
11/29/2017,1139,193,Dist. of Columbia,1332
11/29/2017,37811,11444,Florida,49255
11/29/2017,14801,1736,Georgia,16537
11/29/2017,3123,803,Idaho,3926
11/29/2017,14428,2556,Illinois,16984
11/29/2017,9200,2056,Indiana,11256
11/29/2017,4537,1850,Iowa,6387
11/29/2017,4505,582,Kansas,5087
11/29/2017,8049,1252,Kentucky,9301
11/29/2017,7938,2649,Louisiana,10587
11/29/2017,1172,1082,Maine,2254
11/29/2017,9546,1398,Maryland,10944
11/29/2017,11598,1329,Massachusetts,12927
11/29/2017,14680,1659,Michigan,16339
11/29/2017,8188,682,Minnesota,8870
11/29/2017,11819,988,Missouri,12807
11/29/2017,961,536,Montana,1497
11/29/2017,4016,720,Nebraska,4736
11/29/2017,3330,556,New Hampshire,3886
11/29/2017,21664,2579,New Jersey,24243
11/29/2017,2371,930,New Mexico,3301
11/29/2017,41670,3410,New York,45080
11/29/2017,12221,4557,North Carolina,16778
11/29/2017,668,721,North Dakota,1389
11/29/2017,11472,2840,Ohio,14312
11/29/2017,2712,2112,Oklahoma,4824
11/29/2017,7268,1216,Oregon,8484
11/29/2017,21001,6246,Pennsylvania,27247
11/29/2017,0,0,Puerto Rico,0
11/29/2017,2255,747,Rhode Island,3002
11/29/2017,4917,3845,South Carolina,8762
11/29/2017,1269,425,South Dakota,1694
11/29/2017,8124,3767,Tennessee,11891
11/29/2017,25153,10470,Texas,35623
11/29/2017,554,427,Vermont,981
11/29/2017,0,0,Virgin Islands,0
11/29/2017,10746,2519,Virginia,13265
11/29/2017,7504,1129,Washington,8633
11/29/2017,3475,650,West Virginia,4125
11/29/2017,8951,1765,Wisconsin,10716
11/29/2017,605,484,Wyoming,1089
11/25/2017,11832,2199,Arizona,14031
11/25/2017,1882,1742,Arkansas,3624
11/25/2017,57084,0,California,57084
11/25/2017,5208,4447,Colorado,9655
11/25/2017,6371,3478,Connecticut,9849
11/25/2017,2394,459,Delaware,2853
11/25/2017,964,238,Dist. of Columbia,1202
11/25/2017,45278,13727,Florida,59005
11/25/2017,16606,2136,Georgia,18742
11/25/2017,3194,913,Idaho,4107
11/25/2017,14456,2862,Illinois,17318
11/25/2017,10334,2418,Indiana,12752
11/25/2017,4615,2033,Iowa,6648
11/25/2017,4434,612,Kansas,5046
11/25/2017,8670,1491,Kentucky,10161
11/25/2017,8676,3066,Louisiana,11742
11/25/2017,1407,1454,Maine,2861
11/25/2017,10763,1734,Maryland,12497
11/25/2017,12877,1739,Massachusetts,14616
11/25/2017,15261,1989,Michigan,17250
11/25/2017,8149,717,Minnesota,8866
