date,draw_sales,jackpot,pp_sales,state,state_draw_sales,state_pp_sales
12/06/17,NA,193,NA,AR,NA,NA
12/06/17,NA,193,NA,AZ,NA,NA
12/06/17,NA,193,NA,CA,NA,NA
12/06/17,NA,193,NA,CO,NA,NA
12/06/17,NA,193,NA,CT,NA,NA
12/06/17,NA,193,NA,DC,NA,NA
12/06/17,NA,193,NA,DE,NA,NA
12/06/17,NA,193,NA,FL,NA,NA
12/06/17,NA,193,NA,GA,NA,NA
12/06/17,NA,193,NA,IA,NA,NA
12/06/17,NA,193,NA,ID,NA,NA
12/06/17,NA,193,NA,IL,NA,NA
12/06/17,NA,193,NA,IN,NA,NA
12/06/17,NA,193,NA,KS,NA,NA
12/06/17,NA,193,NA,KY,NA,NA
12/06/17,NA,193,NA,LA,NA,NA
12/06/17,NA,193,NA,MA,NA,NA
12/06/17,NA,193,NA,MD,NA,NA
12/06/17,NA,193,NA,ME,NA,NA
12/06/17,NA,193,NA,MI,NA,NA
12/06/17,NA,193,NA,MN,NA,NA
12/06/17,NA,193,NA,MO,NA,NA
12/06/17,NA,193,NA,MT,NA,NA
12/06/17,NA,193,NA,NC,NA,NA
12/06/17,NA,193,NA,ND,NA,NA
12/06/17,NA,193,NA,NE,NA,NA
12/06/17,NA,193,NA,NH,NA,NA
12/06/17,NA,193,NA,NJ,NA,NA
12/06/17,NA,193,NA,NM,NA,NA
12/06/17,NA,193,NA,NY,NA,NA
12/06/17,NA,193,NA,OH,NA,NA
12/06/17,NA,193,NA,OK,NA,NA
12/06/17,NA,193,NA,OR,NA,NA
12/06/17,NA,193,NA,PA,NA,NA
12/06/17,NA,193,NA,PR,NA,NA
12/06/17,NA,193,NA,RI,NA,NA
12/06/17,NA,193,NA,SC,NA,NA
12/06/17,NA,193,NA,SD,NA,NA
12/06/17,NA,193,NA,TN,NA,NA
12/06/17,NA,193,NA,TX,NA,NA
12/06/17,NA,193,NA,VA,NA,NA
12/06/17,NA,193,NA,VI,NA,NA
12/06/17,NA,193,NA,VT,NA,NA
12/06/17,NA,193,NA,WA,NA,NA
12/06/17,NA,193,NA,WI,NA,NA
12/06/17,NA,193,NA,WV,NA,NA
12/06/17,NA,193,NA,WY,NA,NA
12/02/17,33842134,177,3144938,AR,207040,50023
12/02/17,33842134,177,3144938,AZ,790702,59666
12/02/17,33842134,177,3144938,CA,3292686,NA
12/02/17,33842134,177,3144938,CO,560076,126852
12/02/17,33842134,177,3144938,CT,NA,NA
12/02/17,33842134,177,3144938,DC,80140,6985
12/02/17,33842134,177,3144938,DE,166354,12954
12/02/17,33842134,177,3144938,FL,3222110,377607
12/02/17,33842134,177,3144938,GA,1041772,57311
12/02/17,33842134,177,3144938,IA,385304,57613
12/02/17,33842134,177,3144938,ID,221306,24927
12/02/17,33842134,177,3144938,IL,1022564,81137
12/02/17,33842134,177,3144938,IN,741664,68947
12/02/17,33842134,177,3144938,KS,302420,21391
12/02/17,33842134,177,3144938,KY,583426,40966
12/02/17,33842134,177,3144938,LA,680204,85442
12/02/17,33842134,177,3144938,MA,839336,47288
12/02/17,33842134,177,3144938,MD,722590,47763
12/02/17,33842134,177,3144938,ME,149902,37515
12/02/17,33842134,177,3144938,MI,1028652,55478
12/02/17,33842134,177,3144938,MN,520530,21335
12/02/17,33842134,177,3144938,MO,760712,30628
12/02/17,33842134,177,3144938,MT,84252,15728
12/02/17,33842134,177,3144938,NC,1172230,160987
12/02/17,33842134,177,3144938,ND,77902,20328
12/02/17,33842134,177,3144938,NE,287150,22106
12/02/17,33842134,177,3144938,NH,248514,18584
12/02/17,33842134,177,3144938,NJ,1507958,87164
12/02/17,33842134,177,3144938,NM,198596,27566
12/02/17,33842134,177,3144938,NY,2709238,111981
12/02/17,33842134,177,3144938,OH,890904,97021
12/02/17,33842134,177,3144938,OK,311726,73047
12/02/17,33842134,177,3144938,OR,451908,37126
12/02/17,33842134,177,3144938,PA,1726338,204973
12/02/17,33842134,177,3144938,PR,26,2
12/02/17,33842134,177,3144938,RI,211512,25325
12/02/17,33842134,177,3144938,SC,596980,135032
12/02/17,33842134,177,3144938,SD,100286,14120
12/02/17,33842134,177,3144938,TN,NA,NA
12/02/17,33842134,177,3144938,TX,2266606,342095
12/02/17,33842134,177,3144938,VA,855138,84130
12/02/17,33842134,177,3144938,VI,0,0
12/02/17,33842134,177,3144938,VT,64168,14454
12/02/17,33842134,177,3144938,WA,469596,32410
12/02/17,33842134,177,3144938,WI,643284,53359
12/02/17,33842134,177,3144938,WV,261384,21930
12/02/17,33842134,177,3144938,WY,63486,13552
11/29/17,29306014,163,2662866,AR,175108,40701
11/29/17,29306014,163,2662866,AZ,710842,52286
11/29/17,29306014,163,2662866,CA,3024832,NA
11/29/17,29306014,163,2662866,CO,502646,112182
11/29/17,29306014,163,2662866,CT,NA,NA
11/29/17,29306014,163,2662866,DC,70890,5899
11/29/17,29306014,163,2662866,DE,139866,10873
11/29/17,29306014,163,2662866,FL,2721798,318733
11/29/17,29306014,163,2662866,GA,884588,48096
11/29/17,29306014,163,2662866,IA,340584,49294
11/29/17,29306014,163,2662866,ID,207166,23207
11/29/17,29306014,163,2662866,IL,910814,71211
11/29/17,29306014,163,2662866,IN,604102,55844
11/29/17,29306014,163,2662866,KS,262706,15196
11/29/17,29306014,163,2662866,KY,500200,34581
11/29/17,29306014,163,2662866,LA,578282,72434
11/29/17,29306014,163,2662866,MA,718764,40651
